frameID,d0,d1,d2,d3
0,241.76,380.03,700.0,500.0
1,245.67,385.02,695.0,497.02
2,249.62,390.01,690.0,494.06
3,253.6,394.99,685.0,491.15
4,257.62,399.98,680.0,488.26
5,261.67,404.97,675.0,485.41
6,265.76,409.96,670.0,482.6
7,269.88,414.95,665.0,479.82
8,274.02,419.93,660.0,477.07
9,278.2,424.92,655.0,474.37
10,282.4,429.91,650.0,471.7
11,286.62,434.9,645.0,469.07
12,290.87,439.89,640.0,466.48
13,295.15,444.88,635.0,463.92
14,299.45,449.87,630.0,461.41
15,303.76,454.86,625.0,458.94
16,308.1,459.85,620.0,456.51
17,312.46,464.84,615.0,454.12
18,316.84,469.84,610.0,451.77
19,321.24,474.83,605.0,449.47
20,325.65,479.82,600.0,447.21
21,330.08,484.81,595.0,445.0
22,334.53,489.8,590.0,442.83
23,338.99,494.79,585.0,440.71
24,343.46,499.78,580.0,438.63
25,347.96,504.78,575.0,436.61
26,352.46,509.77,570.0,434.63
27,356.98,514.76,565.0,432.7
28,361.51,519.75,560.0,430.81
29,366.05,524.75,555.0,428.98
30,370.6,529.74,550.0,427.2
31,375.17,534.73,545.0,425.47
32,379.75,539.73,540.0,423.79
33,384.33,544.72,535.0,422.17
34,388.93,549.71,530.0,420.59
35,393.54,554.71,525.0,419.08
36,398.16,559.7,520.0,417.61
37,402.78,564.69,515.0,416.2
38,407.42,569.69,510.0,414.85
39,412.06,574.68,505.0,413.55
40,416.71,579.68,500.0,412.31
41,421.37,584.67,495.0,411.13
42,426.04,589.67,490.0,410.0
43,430.71,594.66,485.0,408.93
44,435.39,599.65,480.0,407.92
45,440.08,604.65,475.0,406.97
46,444.78,609.64,470.0,406.08
47,449.48,614.64,465.0,405.25
48,454.19,619.63,460.0,404.47
49,458.9,624.63,455.0,403.76
50,463.62,629.62,450.0,403.11
51,468.35,634.62,445.0,402.52
52,473.08,639.61,440.0,402.0
53,477.82,644.61,435.0,401.53
54,482.56,649.6,430.0,401.12
55,487.31,654.6,425.0,400.78
56,492.07,659.59,420.0,400.5
57,496.82,664.59,415.0,400.28
58,501.59,669.59,410.0,400.12
59,506.35,674.58,405.0,400.03
60,511.12,679.58,400.0,400.0
61,515.9,684.57,395.0,400.03
62,520.68,689.57,390.0,400.12
63,525.46,694.56,385.0,400.28
64,530.25,699.56,380.0,400.5
65,535.04,704.56,375.0,400.78
66,539.84,709.55,370.0,401.12
67,544.64,714.55,365.0,401.53
68,549.44,719.55,360.0,402.0
69,554.25,724.54,355.0,402.52
70,559.06,729.54,350.0,403.11
71,563.87,734.53,345.0,403.76
72,568.69,739.53,340.0,404.47
73,573.51,744.53,335.0,405.25
74,578.33,749.52,330.0,406.08
75,583.16,754.52,325.0,406.97
76,587.99,759.52,320.0,407.92
77,592.82,764.51,315.0,408.93
78,597.65,769.51,310.0,410.0
79,602.49,774.51,305.0,411.13
80,607.33,779.5,300.0,412.31
81,612.17,784.5,295.0,413.55
82,617.02,789.5,290.0,414.85
83,621.86,794.49,285.0,416.2
84,626.71,799.49,280.0,417.61
85,631.56,804.49,275.0,419.08
86,636.42,809.48,270.0,420.59
87,641.27,814.48,265.0,422.17
88,646.13,819.48,260.0,423.79
89,650.99,824.48,255.0,425.47
90,655.86,829.47,250.0,427.2
91,660.72,834.47,245.0,428.98
92,665.59,839.47,240.0,430.81
93,670.46,844.46,235.0,432.7
94,675.33,849.46,230.0,434.63
95,680.2,854.46,225.0,436.61
96,685.08,859.46,220.0,438.63
97,689.95,864.45,215.0,440.71
98,694.83,869.45,210.0,442.83
99,699.71,874.45,205.0,445.0
100,704.59,879.45,200.0,447.21
101,709.47,884.44,195.0,449.47
102,714.36,889.44,190.0,451.77
103,719.24,894.44,185.0,454.12
104,724.13,899.44,180.0,456.51
105,729.02,904.43,175.0,458.94
106,733.91,909.43,170.0,461.41
107,738.81,914.43,165.0,463.92
108,743.7,919.43,160.0,466.48
109,748.59,924.42,155.0,469.07
110,753.49,929.42,150.0,471.7
111,758.39,934.42,145.0,474.37
112,763.29,939.42,140.0,477.07
113,768.19,944.42,135.0,479.82
114,773.09,949.41,130.0,482.6
115,777.99,954.41,125.0,485.41
116,782.9,959.41,120.0,488.26
117,787.8,964.41,115.0,491.15
118,792.71,969.4,110.0,494.06
119,797.62,974.4,105.0,497.02
120,802.53,979.4,100.0,500.0
